PERMNO,date,TICKER,PRC
59328,20170802,INTC,36.64000
59328,20170803,INTC,36.49000
59328,20170804,INTC,36.30000
59328,20170807,INTC,36.43000
59328,20170808,INTC,36.41000
59328,20170809,INTC,36.59000
59328,20170810,INTC,36.14000
59328,20170811,INTC,35.87000
59328,20170814,INTC,36.34000
59328,20170815,INTC,36.00000
59328,20170816,INTC,35.81000
59328,20170817,INTC,35.17000
59328,20170818,INTC,35.01000
59328,20170821,INTC,34.92000
59328,20170822,INTC,34.65000
59328,20170823,INTC,34.66000
59328,20170824,INTC,34.71000
59328,20170825,INTC,34.67000
59328,20170828,INTC,34.65000
59328,20170829,INTC,34.73000
59328,20170830,INTC,34.89000
59328,20170831,INTC,35.07000
59328,20170901,INTC,35.09000
59328,20170905,INTC,35.02000
59328,20170906,INTC,35.76000
59328,20170907,INTC,35.54000
59328,20170908,INTC,35.19000
59328,20170911,INTC,35.77000
59328,20170912,INTC,36.09000
59328,20170913,INTC,36.33000
59328,20170914,INTC,36.48000
59328,20170915,INTC,37.00000
59328,20170918,INTC,37.00000
59328,20170919,INTC,37.23000
59328,20170920,INTC,37.07000
59328,20170921,INTC,37.20000
59328,20170922,INTC,37.18000
59328,20170925,INTC,37.16000
59328,20170926,INTC,37.47000
59328,20170927,INTC,37.54000
59328,20170928,INTC,37.83000
59328,20170929,INTC,38.08000
59328,20171002,INTC,39.04000
59328,20171003,INTC,39.38000
59328,20171004,INTC,39.34000
59328,20171005,INTC,39.53000
59328,20171006,INTC,39.63000
59328,20171009,INTC,39.86000
59328,20171010,INTC,39.65000
59328,20171011,INTC,39.30000
59328,20171012,INTC,39.19000
59328,20171013,INTC,39.67000
59328,20171016,INTC,39.76000
59328,20171017,INTC,39.79000
59328,20171018,INTC,40.25000
59328,20171019,INTC,40.09000
59328,20171020,INTC,40.43000
59328,20171023,INTC,40.83000
59328,20171024,INTC,40.95000
59328,20171025,INTC,40.78000
59328,20171026,INTC,41.35000
59328,20171027,INTC,44.40000
59328,20171030,INTC,44.37000
59328,20171031,INTC,45.49000
